set,seed,customer_count,high_risk_ratio,high_exposure_ratio,mean_risk,risk_p90,risk_p95,mean_exposure,Q1_count,Q2_count,Q3_count,Q4_count,Q5_count,risk_source,instance_meta
A,0,50,0.44,0.4,0.15836638010106982,0.37371639311313637,0.4946969419717789,0.013132673923027091,6,8,7,7,22,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setA\pyvrp_cvrp_meta.json
B,0,50,0.3,0.36,0.13599007018879092,0.338710305094719,0.4568305090069768,0.00944158470538256,8,6,10,11,15,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed0_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setB\pyvrp_cvrp_meta.json
A,1,50,0.38,0.4,0.15413917753496206,0.5082150578498841,0.6036737501621245,0.013132673923027091,7,7,10,7,19,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setA\pyvrp_cvrp_meta.json
B,1,50,0.26,0.36,0.11848604258484556,0.2574189856648448,0.5295810520648955,0.00944158470538256,10,7,11,9,13,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed1_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setB\pyvrp_cvrp_meta.json
A,2,50,0.44,0.4,0.19118596481624991,0.458663496375084,0.5697296410799025,0.013132673923027091,5,6,5,12,22,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed2_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setA\pyvrp_cvrp_meta.json
B,2,50,0.3,0.36,0.15456414184358436,0.3337830305099489,0.5697296410799025,0.00944158470538256,9,5,7,14,15,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed2_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setB\pyvrp_cvrp_meta.json
A,3,50,0.44,0.4,0.17028854886535555,0.33990744054317484,0.4383739888668059,0.013132673923027091,5,9,5,9,22,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed3_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setA\pyvrp_cvrp_meta.json
B,3,50,0.34,0.36,0.1452996151141997,0.33990744054317484,0.4383739888668059,0.00944158470538256,9,8,6,10,17,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed3_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setB\pyvrp_cvrp_meta.json
A,4,50,0.44,0.4,0.21061455259099604,0.525679510831833,0.6522443324327466,0.013132673923027091,5,8,8,7,22,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed4_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setA\pyvrp_cvrp_meta.json
B,4,50,0.3,0.36,0.1687003990741141,0.36314074397087126,0.5950718790292739,0.00944158470538256,9,6,10,10,15,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed4_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setB\pyvrp_cvrp_meta.json
A,5,50,0.38,0.4,0.16574424670827284,0.4380199104547501,0.5173435628414154,0.013132673923027091,6,7,8,10,19,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed5_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setA\pyvrp_cvrp_meta.json
B,5,50,0.28,0.36,0.14172300024772994,0.34495621621608746,0.5255210250616069,0.00944158470538256,9,6,8,13,14,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed5_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setB\pyvrp_cvrp_meta.json
A,6,50,0.42,0.4,0.18302629184792749,0.3820582628250122,0.5417017698287964,0.013132673923027091,7,4,9,9,21,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed6_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setA\pyvrp_cvrp_meta.json
B,6,50,0.32,0.36,0.15541185538619173,0.3728001207113266,0.5041131317615507,0.00944158470538256,8,6,11,9,16,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed6_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setB\pyvrp_cvrp_meta.json
A,7,50,0.46,0.4,0.20160538020078092,0.4566695183515549,0.6758003711700439,0.013132673923027091,5,8,4,10,23,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed7_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setA\pyvrp_cvrp_meta.json
B,7,50,0.34,0.36,0.15530731928805835,0.4161019742488861,0.5663624539971346,0.00944158470538256,12,6,3,12,17,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed7_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setB\pyvrp_cvrp_meta.json
A,8,50,0.42,0.4,0.17038970627422714,0.34758904874324803,0.5794666796922682,0.013132673923027091,7,5,7,10,21,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed8_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setA\pyvrp_cvrp_meta.json
B,8,50,0.34,0.36,0.14501020494761177,0.31064576804637917,0.5794666796922682,0.00944158470538256,11,3,8,11,17,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed8_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setB\pyvrp_cvrp_meta.json
A,9,50,0.36,0.4,0.16278357178802252,0.4296512931585312,0.49762507528066635,0.013132673923027091,8,6,7,11,18,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed9_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setA\pyvrp_cvrp_meta.json
B,9,50,0.24,0.36,0.1331688925623712,0.3266359329223634,0.49762507528066635,0.00944158470538256,10,6,9,13,12,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\risk_matrices\gcn_teg_concat_splitB_seed9_epochs50_10seed_floor_0p01,D:\PyVRP-main\hazmat_risk_experiments\outputs_10seed\pyvrp_cvrp\fixed_instances_10seed\setB\pyvrp_cvrp_meta.json
