route_pool,customer_set,budget,runs,cost_increase_pct_mean,common_global_risk_mean,common_global_risk_std,common_global_cvar90_mean,common_global_cvar90_std,load_global_risk_mean,load_global_risk_std,common_top10_burden_share_mean,common_top10_burden_share_std,method
GCN-only pool,A,0.2,10,0.1784913990755377,2.90094501183904,0.1285443534149718,0.0624961924072846,0.0092605757457583,1.4216474476995895,0.1706116155882913,0.7253663022530146,0.0121957084894614,GCN
GCN-only pool,A,0.25,10,0.2275035278537653,2.7132402706874394,0.0611537382222375,0.0541686386297336,0.0070370707104455,1.3739280365364157,0.2298297650131276,0.7088807076372284,0.0104513457370503,GCN
GCN-only pool,A,0.3,10,0.2732894563293245,2.415219232162026,0.1274341467635691,0.0425742204359084,0.0039931574916023,1.2181447709377848,0.1609164803807197,0.6667561266747553,0.017989307323364,GCN
GCN-only pool,B,0.2,10,0.1572309099314841,4.848113839671079,0.4815108674356286,0.1154552310976962,0.0143106116367086,2.114773872419365,0.3005157197536989,0.8193525495553932,0.0211135231554558,GCN
GCN-only pool,B,0.25,10,0.2225753543689394,3.535528215300908,0.2536907105462488,0.0818770613773543,0.0068168652376305,1.6781013423093765,0.2463844326470692,0.7541647257737724,0.0174979637156334,GCN
GCN-only pool,B,0.3,10,0.287898986541235,3.2933414316366543,0.1343303543271035,0.0764670373863263,0.004654330058387,1.4339840523882017,0.2268109484698252,0.7388927501498702,0.0106762294229631,GCN
Stable-Tail-only pool,A,0.2,10,0.1964887457908427,2.778065017571437,0.1353897759560091,0.0530534102333341,0.008125380880169,1.4218154614911185,0.1943965016579991,0.7197094952403555,0.0127458602411869,Stable-Tail-GNN
Stable-Tail-only pool,A,0.25,10,0.2266721465426323,2.5443475798349056,0.1122817305039903,0.0462927361196197,0.0040192154234164,1.234992162224842,0.0702124063992664,0.6879232255513402,0.0192793924685151,Stable-Tail-GNN
Stable-Tail-only pool,A,0.3,10,0.2700915712012184,2.442571482185067,0.1025362353082439,0.0431746979435823,0.0039093948446386,1.1918284089372997,0.1154916947843219,0.6725094363269901,0.0175638781364987,Stable-Tail-GNN
Stable-Tail-only pool,B,0.2,10,0.1866285229971204,3.5623543419059,0.2120127704954284,0.0834827185173998,0.005267874058857,1.735070417445676,0.3057658217596415,0.7543918543099088,0.0156652890902032,Stable-Tail-GNN
Stable-Tail-only pool,B,0.25,10,0.2134823538615406,3.389069317672896,0.108918722659978,0.0786235880349033,0.0023191296696375,1.5175071060911605,0.1688231143261448,0.7432529338498114,0.0086506735850204,Stable-Tail-GNN
Stable-Tail-only pool,B,0.3,10,0.2804923334197753,3.229164869491038,0.090111889946588,0.0726063589865017,0.0044673189439021,1.4438769180472095,0.1941396155841148,0.7324350931340138,0.0052473200393618,Stable-Tail-GNN
TEG-low-only pool,A,0.2,10,0.1849914954071432,2.950639698089744,0.2200222489271803,0.0596483545434537,0.0065061342202661,1.4259337188044072,0.1106857257907488,0.7323545515423278,0.0202268282632496,TEG-low
TEG-low-only pool,A,0.25,10,0.2066165482505189,2.7611944849153227,0.0754797159051771,0.0559497667929178,0.0033443075634461,1.38465749822285,0.1566526445230989,0.7118583585675731,0.0108045466300434,TEG-low
TEG-low-only pool,A,0.3,10,0.2890150743107779,2.259044972850144,0.1326181798190881,0.0402365037304309,0.0057034026862124,1.131441752934777,0.0924615360671729,0.6426411899073914,0.0212315382790444,TEG-low
TEG-low-only pool,B,0.2,10,0.173542181892444,4.264618436983059,0.2260218831937258,0.0995527064495901,0.0055930893596247,2.073805681759876,0.1894982042870646,0.7938993530585173,0.0109441406968611,TEG-low
TEG-low-only pool,B,0.25,10,0.2130594958641492,3.431112811287298,0.1703838388904656,0.0802330105838371,0.0058511649309584,1.6639623353218274,0.1740688846237507,0.7461010144341049,0.0124713610754551,TEG-low
TEG-low-only pool,B,0.3,10,0.2710852785393015,3.201703684723591,0.0791976178726879,0.0702095449323747,0.0031062592981184,1.475613590533871,0.1477652336126987,0.7248535157091256,0.0084660470633986,TEG-low
three-model + multi-eta pool,A,0.2,10,0.1927140340992724,2.6967812548647423,0.0838828675159205,0.0509123247296111,0.0049600288922144,1.3184786930664074,0.144018789214623,0.708468344128797,0.0108090517917101,Three-model + multi-eta
three-model + multi-eta pool,A,0.25,10,0.2377290923260659,2.3572602367527926,0.1762279258123577,0.0401863083820945,0.0043862102722137,1.2146464421808638,0.1145938928074648,0.6559647817145692,0.0234100181816,Three-model + multi-eta
three-model + multi-eta pool,A,0.3,10,0.2806529877575846,2.17652971026752,0.0882258051144674,0.0363016181512679,0.0016586285136562,1.0669911607518556,0.1021233225098526,0.6301122503272428,0.0129999779472802,Three-model + multi-eta
three-model + multi-eta pool,B,0.2,10,0.1885684497121982,3.505149581291996,0.1972192572967621,0.0811635864804769,0.0044260549763952,1.6461877424763611,0.2101859550871427,0.7483242092695341,0.0109831832918104,Three-model + multi-eta
three-model + multi-eta pool,B,0.25,10,0.2207207114512139,3.341531064640801,0.1089827778275538,0.0773809325318242,0.0020999019172657,1.4363204173478663,0.1433897830653788,0.7391560851076818,0.0061585922509149,Three-model + multi-eta
three-model + multi-eta pool,B,0.3,10,0.2857493241687671,3.1146140802215925,0.1140320555810069,0.0660113160685304,0.0045637766478301,1.5229434512711022,0.2012855273239395,0.7185120628339887,0.0129248165519778,Three-model + multi-eta
three-model pool,A,0.2,10,0.1924237483902633,2.736096386450334,0.1009828725506804,0.0514163014870549,0.0044300866559451,1.3520417967528142,0.095066839762519,0.7141115461265618,0.0111306687085061,J-full
three-model pool,A,0.25,10,0.2242250950941032,2.5605312800882727,0.1250417232618062,0.0466453109092573,0.0043398502899611,1.1829040082029585,0.0977503195119677,0.6902996585352099,0.0201238170645608,J-full
three-model pool,A,0.3,10,0.283873953842681,2.24619168891008,0.121803272807475,0.0388631833789819,0.004203302074554,1.11858348171935,0.0838126858232182,0.6418102458701658,0.0210323616013323,J-full
three-model pool,B,0.2,10,0.1866285229971204,3.5623543419059,0.2120127704954284,0.0834827185173998,0.005267874058857,1.735070417445676,0.3057658217596415,0.7543918543099088,0.0156652890902032,J-full
three-model pool,B,0.25,10,0.2161637334729504,3.348957733853034,0.1139911082037192,0.0773925916670651,0.0021065400424811,1.5061463646002318,0.1458984566571979,0.740757151074442,0.0078380336140823,J-full
three-model pool,B,0.3,10,0.2758801619172137,3.1871992169295056,0.0804063829674698,0.0700802405534221,0.0048473770143904,1.4325154504865378,0.1897503555943751,0.7257201441638802,0.0090576783559457,J-full
