model,model_seed,customer_set,average_common_risk_at_b
GAT,0,A,3.548432548694447
GAT,0,B,5.389294380463504
GAT,1,A,3.6668121582142246
GAT,1,B,5.189708174367739
GAT,2,A,3.657455553996081
GAT,2,B,5.6915395134019136
GAT,3,A,3.589777360405661
GAT,3,B,5.025145132027312
GAT,4,A,3.6929286989096703
GAT,4,B,5.5467458519541015
GAT,5,A,3.5669569007619324
GAT,5,B,5.465574547278335
GAT,6,A,3.2976187738934106
GAT,6,B,5.549389467540936
GAT,7,A,3.609764163132471
GAT,7,B,5.22301032922171
GAT,8,A,3.5549520274099087
GAT,8,B,4.848191305732931
GAT,9,A,3.669832252386938
GAT,9,B,5.276450336312783
GCN,0,A,3.474193635236231
GCN,0,B,4.838991914970713
GCN,1,A,3.324264029942899
GCN,1,B,4.629197848794304
GCN,2,A,3.5735396745303425
GCN,2,B,5.026001069820228
GCN,3,A,3.4440266222833213
GCN,3,B,4.9608230011522165
GCN,4,A,3.6412563326663054
GCN,4,B,5.211911933771806
GCN,5,A,3.48188871081065
GCN,5,B,4.821834233440874
GCN,6,A,3.4491082153555204
GCN,6,B,5.388994518081498
GCN,7,A,3.4595164236895175
GCN,7,B,5.002023929759464
GCN,8,A,3.4111138756385295
GCN,8,B,4.853381012892599
GCN,9,A,3.4659006028479227
GCN,9,B,4.889745342264788
Gradformer-adapted,0,A,3.7423074619621732
Gradformer-adapted,0,B,5.115264709268777
Gradformer-adapted,1,A,3.5245661062237565
Gradformer-adapted,1,B,4.8205644710032916
Gradformer-adapted,2,A,3.8911148649154383
Gradformer-adapted,2,B,5.176456193977765
Gradformer-adapted,3,A,3.5972564936511793
Gradformer-adapted,3,B,5.097518219503179
Gradformer-adapted,4,A,3.63171191801113
Gradformer-adapted,4,B,4.754848626357229
Gradformer-adapted,5,A,3.641918175018842
Gradformer-adapted,5,B,4.698595170909392
Gradformer-adapted,6,A,3.4713569746836748
Gradformer-adapted,6,B,5.348522436081882
Gradformer-adapted,7,A,3.874936062485073
Gradformer-adapted,7,B,5.2858152603401445
Gradformer-adapted,8,A,3.530181470054662
Gradformer-adapted,8,B,4.736062947500499
Gradformer-adapted,9,A,3.913735752883921
Gradformer-adapted,9,B,5.609444489127533
GraphSAGE,0,A,3.298941239978312
GraphSAGE,0,B,4.3425814094460815
GraphSAGE,1,A,3.2036436682539238
GraphSAGE,1,B,4.491058272946637
GraphSAGE,2,A,3.5060853306831596
GraphSAGE,2,B,4.989924459728746
GraphSAGE,3,A,3.6099278487316053
GraphSAGE,3,B,5.253079710037659
GraphSAGE,4,A,3.566347847261158
GraphSAGE,4,B,4.697336942428109
GraphSAGE,5,A,3.34910516323785
GraphSAGE,5,B,4.990129068209826
GraphSAGE,6,A,3.5739774721439153
GraphSAGE,6,B,5.4624773479036355
GraphSAGE,7,A,3.2780685500193307
GraphSAGE,7,B,5.140029883223553
GraphSAGE,8,A,3.3737628618898126
GraphSAGE,8,B,4.453235688236715
GraphSAGE,9,A,3.4101150938686473
GraphSAGE,9,B,4.925957624100758
GraphSAGE-TEG-Concat,0,A,3.195407683034071
GraphSAGE-TEG-Concat,0,B,4.604835689566982
GraphSAGE-TEG-Concat,1,A,3.3784721376111206
GraphSAGE-TEG-Concat,1,B,5.04022490154366
GraphSAGE-TEG-Concat,2,A,3.5866513970647986
GraphSAGE-TEG-Concat,2,B,5.1446158473934975
GraphSAGE-TEG-Concat,3,A,3.2034324369971783
GraphSAGE-TEG-Concat,3,B,4.608264257434064
GraphSAGE-TEG-Concat,4,A,3.4867274558177646
GraphSAGE-TEG-Concat,4,B,4.9806078109801275
GraphSAGE-TEG-Concat,5,A,3.2570463520921527
GraphSAGE-TEG-Concat,5,B,4.694189569619689
GraphSAGE-TEG-Concat,6,A,3.431729675061711
GraphSAGE-TEG-Concat,6,B,5.336777767760487
GraphSAGE-TEG-Concat,7,A,3.4959763738894987
GraphSAGE-TEG-Concat,7,B,4.883776109010986
GraphSAGE-TEG-Concat,8,A,3.422425126253795
GraphSAGE-TEG-Concat,8,B,4.741947686325917
GraphSAGE-TEG-Concat,9,A,3.3279210553450804
GraphSAGE-TEG-Concat,9,B,4.553213777744219
GraphSAGE-TEG-Gate,0,A,3.220068345330341
GraphSAGE-TEG-Gate,0,B,4.875448797815925
GraphSAGE-TEG-Gate,1,A,3.063048503809063
GraphSAGE-TEG-Gate,1,B,4.387952692966091
GraphSAGE-TEG-Gate,2,A,3.4123341338209032
GraphSAGE-TEG-Gate,2,B,4.818887988550114
GraphSAGE-TEG-Gate,3,A,3.2776201126082283
GraphSAGE-TEG-Gate,3,B,4.83023923332068
GraphSAGE-TEG-Gate,4,A,3.4878560000788004
GraphSAGE-TEG-Gate,4,B,4.60796872972601
GraphSAGE-TEG-Gate,5,A,3.2482610803492955
GraphSAGE-TEG-Gate,5,B,4.760781372868046
GraphSAGE-TEG-Gate,6,A,3.3775565545043174
GraphSAGE-TEG-Gate,6,B,5.34264714163102
GraphSAGE-TEG-Gate,7,A,3.383163013699796
GraphSAGE-TEG-Gate,7,B,4.960025482899651
GraphSAGE-TEG-Gate,8,A,3.232587601162059
GraphSAGE-TEG-Gate,8,B,4.73320485589993
GraphSAGE-TEG-Gate,9,A,3.134470650249216
GraphSAGE-TEG-Gate,9,B,4.47237028237647
SGFormer-TEG-Concat,0,A,3.3308352062009843
SGFormer-TEG-Concat,0,B,5.027074775317197
SGFormer-TEG-Concat,1,A,3.3095502795960314
SGFormer-TEG-Concat,1,B,4.969630484986835
SGFormer-TEG-Concat,2,A,3.4622291917678503
SGFormer-TEG-Concat,2,B,5.065875731039997
SGFormer-TEG-Concat,3,A,3.3910695898634318
SGFormer-TEG-Concat,3,B,4.935178584628772
SGFormer-TEG-Concat,4,A,3.533728250284476
SGFormer-TEG-Concat,4,B,4.948126651548738
SGFormer-TEG-Concat,5,A,3.354602767997265
SGFormer-TEG-Concat,5,B,4.336996467519247
SGFormer-TEG-Concat,6,A,3.4322240826929837
SGFormer-TEG-Concat,6,B,5.179181526289099
SGFormer-TEG-Concat,7,A,3.364244507594001
SGFormer-TEG-Concat,7,B,4.466633511649987
SGFormer-TEG-Concat,8,A,3.360517970499132
SGFormer-TEG-Concat,8,B,4.389965703762434
SGFormer-TEG-Concat,9,A,3.4745330521449063
SGFormer-TEG-Concat,9,B,4.4108030762436785
SGFormer-TEG-Gate,0,A,3.301689597222924
SGFormer-TEG-Gate,0,B,4.461871349464615
SGFormer-TEG-Gate,1,A,3.0348342306685416
SGFormer-TEG-Gate,1,B,4.319767868084006
SGFormer-TEG-Gate,2,A,3.552468147959441
SGFormer-TEG-Gate,2,B,4.86084297876612
SGFormer-TEG-Gate,3,A,3.4198026712671634
SGFormer-TEG-Gate,3,B,4.865773089115536
SGFormer-TEG-Gate,4,A,3.822774979427455
SGFormer-TEG-Gate,4,B,4.960006844080437
SGFormer-TEG-Gate,5,A,3.482743224168222
SGFormer-TEG-Gate,5,B,4.412769746914095
SGFormer-TEG-Gate,6,A,3.449130376419131
SGFormer-TEG-Gate,6,B,5.499733944178663
SGFormer-TEG-Gate,7,A,3.3257355561825572
SGFormer-TEG-Gate,7,B,4.9415388285563235
SGFormer-TEG-Gate,8,A,3.3719659787116387
SGFormer-TEG-Gate,8,B,4.272808946568115
SGFormer-TEG-Gate,9,A,3.30018800766133
SGFormer-TEG-Gate,9,B,4.4095998454054675
SGFormer-adapted,0,A,3.1448859910214564
SGFormer-adapted,0,B,4.86548697309376
SGFormer-adapted,1,A,3.313127325515507
SGFormer-adapted,1,B,4.367102059478843
SGFormer-adapted,2,A,3.6643574263072787
SGFormer-adapted,2,B,5.299594514483145
SGFormer-adapted,3,A,3.82753978780418
SGFormer-adapted,3,B,5.284454308032635
SGFormer-adapted,4,A,3.670231816935843
SGFormer-adapted,4,B,4.810606865811741
SGFormer-adapted,5,A,3.018956094759208
SGFormer-adapted,5,B,4.754001236706565
SGFormer-adapted,6,A,3.4204073691078185
SGFormer-adapted,6,B,5.34092554965739
SGFormer-adapted,7,A,3.352566852288563
SGFormer-adapted,7,B,4.721724797663486
SGFormer-adapted,8,A,3.456324708648256
SGFormer-adapted,8,B,4.73926264229461
SGFormer-adapted,9,A,3.6505465257876275
SGFormer-adapted,9,B,4.320362826013683
Stable-Tail GNN,0,A,3.283754796482193
Stable-Tail GNN,0,B,4.61017414438426
Stable-Tail GNN,1,A,3.4950277694603877
Stable-Tail GNN,1,B,4.522919919449113
Stable-Tail GNN,2,A,3.4800930512548205
Stable-Tail GNN,2,B,5.038800047737524
Stable-Tail GNN,3,A,3.505204311391332
Stable-Tail GNN,3,B,5.086692017871587
Stable-Tail GNN,4,A,3.450402649773193
Stable-Tail GNN,4,B,4.717300461130034
Stable-Tail GNN,5,A,3.5026750023120443
Stable-Tail GNN,5,B,4.596813556125218
Stable-Tail GNN,6,A,3.3173160668398674
Stable-Tail GNN,6,B,4.932892456975537
Stable-Tail GNN,7,A,3.382592574513874
Stable-Tail GNN,7,B,4.607316102136175
Stable-Tail GNN,8,A,3.252197277699126
Stable-Tail GNN,8,B,4.62431421051633
Stable-Tail GNN,9,A,3.2695404739860128
Stable-Tail GNN,9,B,4.4663015751741355
Stable-Tail w/o Tail Loss,0,A,3.3044411299947347
Stable-Tail w/o Tail Loss,0,B,4.704819466036563
Stable-Tail w/o Tail Loss,1,A,3.6212620729907004
Stable-Tail w/o Tail Loss,1,B,4.565500273340879
Stable-Tail w/o Tail Loss,2,A,3.50667887179167
Stable-Tail w/o Tail Loss,2,B,5.026691281932609
Stable-Tail w/o Tail Loss,3,A,3.6169295009814575
Stable-Tail w/o Tail Loss,3,B,4.6979409474221665
Stable-Tail w/o Tail Loss,4,A,3.68176467766625
Stable-Tail w/o Tail Loss,4,B,4.916130325426965
Stable-Tail w/o Tail Loss,5,A,3.547928000110272
Stable-Tail w/o Tail Loss,5,B,4.821751329850344
Stable-Tail w/o Tail Loss,6,A,3.472042908439963
Stable-Tail w/o Tail Loss,6,B,5.446287895580785
Stable-Tail w/o Tail Loss,7,A,3.3671718299024667
Stable-Tail w/o Tail Loss,7,B,4.919959045814659
Stable-Tail w/o Tail Loss,8,A,3.372289557567021
Stable-Tail w/o Tail Loss,8,B,4.823822244758177
Stable-Tail w/o Tail Loss,9,A,3.576997243563022
Stable-Tail w/o Tail Loss,9,B,5.0024320192053695
TEG-only,0,A,3.368892742768505
TEG-only,0,B,4.866116940730254
TEG-only,1,A,3.400287426245036
TEG-only,1,B,4.515586133949638
TEG-only,2,A,3.4191330981125683
TEG-only,2,B,5.062445244933557
TEG-only,3,A,3.606487640080568
TEG-only,3,B,5.181603343982481
TEG-only,4,A,3.738089454813426
TEG-only,4,B,5.093547669292815
TEG-only,5,A,3.520523178011562
TEG-only,5,B,4.825388188990394
TEG-only,6,A,3.368229963113559
TEG-only,6,B,4.8562907662417505
TEG-only,7,A,3.696212626156022
TEG-only,7,B,4.734015241056224
TEG-only,8,A,3.4725935042497946
TEG-only,8,B,4.974512277997156
TEG-only,9,A,3.4653103003044614
TEG-only,9,B,4.688825692879895
